,Market,Selection,Bet Type,Market ID,Selection ID,Price,Size,Handicap,Liability,Stake
113,Asian Handicap,Tottenham 0,Back,1.230788326,48759,1.02,600.24,0.0,0.0,0.0
114,Asian Handicap,Hearts 0 & +0.5,Back,1.230788326,2437395,9.61,11.06,0.25,0.0,0.0
115,Asian Handicap,Tottenham 0 & -0.5,Back,1.230788326,48759,1.08,1204.2,-0.25,0.0,0.0
116,Asian Handicap,Hearts +0.5,Back,1.230788326,2437395,6.2,13.51,0.5,0.0,0.0
117,Asian Handicap,Tottenham -0.5,Back,1.230788326,48759,1.15,520.0,-0.5,0.0,0.0
118,Asian Handicap,Hearts +0.5 & +1.0,Back,1.230788326,2437395,5.26,11.02,0.75,0.0,0.0
119,Asian Handicap,Tottenham -0.5 & -1.0,Back,1.230788326,48759,1.17,552.7,-0.75,0.0,0.0
120,Asian Handicap,Hearts +1.0,Back,1.230788326,2437395,4.43,12.06,1.0,0.0,0.0
121,Asian Handicap,Tottenham -1.0,Back,1.230788326,48759,1.21,600.85,-1.0,0.0,0.0
122,Asian Handicap,Hearts +1.0 & +1.5,Back,1.230788326,2437395,2.4,41.48,1.25,0.0,0.0
123,Asian Handicap,Tottenham -1.0 & -1.5,Back,1.230788326,48759,1.43,146.61,-1.25,0.0,0.0
