Market,Selection,Bet Type,Max Size,Min Size
Goal Lines,Over 3.0 & 3.5,Lay,185.6,0.0
Goal Lines,Under 3.5,Lay,16.96,0.0
Goal Lines,Over 3.5,Lay,189.0,0.0
Goal Lines,Under 3.5 & 4.0,Lay,8.71,0.0
Goal Lines,Over 3.5 & 4.0,Lay,189.0,0.0
Goal Lines,Under 4.0,Lay,129.66,0.0
Goal Lines,Over 4.0,Lay,189.0,0.0
Goal Lines,Under 4.0 & 4.5,Lay,173.41,0.0
Goal Lines,Over 4.0 & 4.5,Lay,189.0,0.0
Goal Lines,Under 4.5,Lay,223.74,0.0
Goal Lines,Over 4.5,Lay,604.0,0.0
Goal Lines,Under 4.5 & 5.0,Lay,60.4,0.0
Goal Lines,Over 4.5 & 5.0,Lay,604.0,0.0
Goal Lines,Under 5.0,Lay,59.23,0.0
Goal Lines,Over 5.0,Lay,604.0,0.0
Goal Lines,Under 5.0 & 5.5,Lay,1.15,0.0
Goal Lines,Over 5.0 & 5.5,Lay,604.0,0.0
Goal Lines,Under 5.5,Lay,1.52,0.0
Goal Lines,Over 5.5,Lay,1008.99,0.0
Goal Lines,Under 5.5 & 6.0,Lay,2.5,0.0
Goal Lines,Over 5.5 & 6.0,Lay,1008.99,0.0
Goal Lines,Under 6.0,Lay,2.48,0.0
Goal Lines,Over 6.0,Lay,1008.99,0.0
Goal Lines,Under 6.0 & 6.5,Lay,5.19,0.0
Goal Lines,Over 6.0 & 6.5,Lay,1008.99,0.0
Goal Lines,Under 6.5,Lay,18.42,0.0
Goal Lines,Over 6.5,Lay,1008.99,0.0
Goal Lines,Under 6.5 & 7.0,Lay,11.61,0.0
Goal Lines,Over 6.5 & 7.0,Lay,1008.99,0.0
Goal Lines,Under 7.0,Lay,11.61,0.0
Goal Lines,Over 7.0,Lay,1008.99,0.0
Goal Lines,Under 7.0 & 7.5,Lay,19.69,0.0
Goal Lines,Over 7.0 & 7.5,Lay,1008.99,0.0
Goal Lines,Under 7.5,Lay,11.61,0.0
Goal Lines,Over 7.5,Lay,1008.99,0.0
Goal Lines,Under 7.5 & 8.0,Lay,11.61,0.0
Goal Lines,Over 7.5 & 8.0,Lay,1008.99,0.0
Goal Lines,Under 8.0,Lay,11.61,0.0
Goal Lines,Over 8.0,Lay,1008.99,0.0
Goal Lines,Under 8.0 & 8.5,Lay,19.88,0.0
Goal Lines,Over 8.0 & 8.5,Lay,1008.99,0.0
Goal Lines,Under 8.5,Lay,1008.99,0.0
Goal Lines,Over 8.5,Lay,1008.99,0.0
Draw no Bet,Hearts,Back,19.27,0.0
Draw no Bet,Tottenham,Back,165.12,0.0
Draw no Bet,Hearts,Lay,2098.44,0.0
Draw no Bet,Tottenham,Lay,20.57,0.0
