Market ID,Market Name,Selection Name,Selection ID,Handicap,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
1.230788326,Asian Handicap,Tottenham +0.5,48759,0.5,1.01,6182.15,1.03,35.92,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts 0 & -0.5,2437395,-0.25,28.43,12.27,57.84,22.25,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham 0 & +0.5,48759,0.25,1.01,6222.9,1.03,36.35,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts 0,2437395,0.0,26.86,13.23,53.64,10.56,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham 0,48759,0.0,1.02,399.58,1.03,36.85,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts 0 & +0.5,2437395,0.25,10.22,50.28,13.45,64.15,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham 0 & -0.5,48759,-0.25,1.08,798.87,1.09,10.85,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +0.5,2437395,0.5,6.55,106.44,8.15,79.72,6.91,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -0.5,48759,-0.5,1.14,569.91,1.16,20.13,1.72,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +0.5 & +1.0,2437395,0.75,5.63,12.19,7.03,99.5,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -0.5 & -1.0,48759,-0.75,1.16,775.55,1.2,21.21,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +1.0,2437395,1.0,4.5,17.87,5.92,67.97,5.0,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -1.0,48759,-1.0,1.2,651.4,1.27,23.27,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +1.0 & +1.5,2437395,1.25,2.69,2.99,3.33,31.42,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -1.0 & -1.5,48759,-1.25,1.43,73.17,1.6,5.28,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +1.5,2437395,1.5,2.07,347.03,2.52,27.01,2.38,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -1.5,48759,-1.5,1.65,82.78,1.93,372.37,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +1.5 & +2.0,2437395,1.75,1.79,36.27,2.12,68.98,2.24,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -1.5 & -2.0,48759,-1.75,1.89,107.78,2.27,28.82,1.73,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +2.0,2437395,2.0,1.51,112.41,1.72,48.49,1.59,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -2.0,48759,-2.0,2.38,35.04,2.96,30.06,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +2.0 & +2.5,2437395,2.25,1.37,75.89,1.52,58.91,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -2.0 & -2.5,48759,-2.25,2.94,16.49,3.7,28.22,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +2.5,2437395,2.5,1.28,35.22,1.4,26.94,1.53,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -2.5,48759,-2.5,3.5,10.78,4.58,18.27,3.1,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +2.5 & +3.0,2437395,2.75,1.2,135.2,1.27,27.13,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -2.5 & -3.0,48759,-2.75,4.68,21.97,5.8,27.99,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +3.0,2437395,3.0,1.1,985.0,1.15,203.02,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -3.0,48759,-3.0,7.84,12.64,10.89,38.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +3.0 & +3.5,2437395,3.25,1.09,651.8,1.13,102.02,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -3.0 & -3.5,48759,-3.25,8.69,13.83,11.95,31.97,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +3.5,2437395,3.5,1.08,621.35,1.12,51.57,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -3.5,48759,-3.5,9.09,12.34,13.0,27.39,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +3.5 & +4.0,2437395,3.75,1.05,521.71,1.1,27.18,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -3.5 & -4.0,48759,-3.75,9.4,11.75,20.0,27.39,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts +4.0,2437395,4.0,1.01,1.01,1.1,27.18,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham -4.0,48759,-4.0,9.4,11.75,1000.0,1.01,,0.0,ACTIVE,,
1.230788360,Both teams to Score?,Yes,30246,0.0,2.56,242.38,3.3,213.15,2.18,0.0,ACTIVE,,
1.230788360,Both teams to Score?,No,110503,0.0,1.47,13.66,1.64,189.83,1.6,0.0,ACTIVE,,
1.230788361,Draw no Bet,Hearts,2437395,0.0,36.0,17.88,50.0,12.6,,0.0,ACTIVE,,
1.230788361,Draw no Bet,Tottenham,48759,0.0,1.02,600.24,1.03,624.79,,0.0,ACTIVE,,
