,Market,Selection,Bet Type,Market ID,Selection ID,Price,Size,Handicap,Liability,Stake
201,Goal Lines,Over 2.0,Back,1.230452430,7044482,2.02,2973.61,2.0,0.0,0.0
202,Goal Lines,Under 2.0 & 2.5,Back,1.230452430,7044483,1.69,437.79,2.25,0.0,0.0
203,Goal Lines,Over 2.0 & 2.5,Back,1.230452430,7044482,2.42,1584.46,2.25,0.0,0.0
204,Goal Lines,Under 2.5,Back,1.230452430,7044483,1.54,1538.67,2.5,0.0,0.0
205,Goal Lines,Over 2.5,Back,1.230452430,7044482,2.82,640.22,2.5,0.0,0.0
206,Goal Lines,Under 2.5 & 3.0,Back,1.230452430,7044483,1.2,6015.63,2.75,0.0,0.0
207,Goal Lines,Over 2.5 & 3.0,Back,1.230452430,7044482,3.44,1371.27,2.75,0.0,0.0
208,Goal Lines,Under 3.0,Back,1.230452430,7044483,1.2,6015.63,3.0,0.0,0.0
209,Goal Lines,Over 3.0,Back,1.230452430,7044482,4.74,42.84,3.0,0.0,0.0
210,Goal Lines,Under 3.0 & 3.5,Back,1.230452430,7044483,1.2,6015.63,3.25,0.0,0.0
211,Goal Lines,Over 3.0 & 3.5,Back,1.230452430,7044482,5.27,33.59,3.25,0.0,0.0
212,Goal Lines,Under 3.5,Back,1.230452430,7044483,1.2,6015.63,3.5,0.0,0.0
213,Goal Lines,Over 3.5,Back,1.230452430,7044482,5.8,27.63,3.5,0.0,0.0
214,Goal Lines,Under 3.5 & 4.0,Back,1.230452430,7044483,1.06,35863.45,3.75,0.0,0.0
215,Goal Lines,Over 3.5 & 4.0,Back,1.230452430,7044482,7.95,35.81,3.75,0.0,0.0
216,Goal Lines,Under 4.0,Back,1.230452430,7044483,1.06,35863.45,4.0,0.0,0.0
217,Goal Lines,Over 4.0,Back,1.230452430,7044482,13.65,160.24,4.0,0.0,0.0
218,Goal Lines,Under 4.0 & 4.5,Back,1.230452430,7044483,1.06,35863.45,4.25,0.0,0.0
219,Goal Lines,Over 4.0 & 4.5,Back,1.230452430,7044482,14.46,211.76,4.25,0.0,0.0
220,Goal Lines,Under 4.5,Back,1.230452430,7044483,1.06,35863.45,4.5,0.0,0.0
221,Goal Lines,Over 4.5,Back,1.230452430,7044482,15.28,193.47,4.5,0.0,0.0
222,Goal Lines,Under 4.5 & 5.0,Back,1.230452430,7044483,1.02,33871.12,4.75,0.0,0.0
223,Goal Lines,Over 4.5 & 5.0,Back,1.230452430,7044482,21.37,30.52,4.75,0.0,0.0
224,Goal Lines,Under 5.0,Back,1.230452430,7044483,1.02,33871.12,5.0,0.0,0.0
225,Goal Lines,Over 5.0,Back,1.230452430,7044482,34.64,80.57,5.0,0.0,0.0
226,Goal Lines,Under 5.0 & 5.5,Back,1.230452430,7044483,1.02,33242.27,5.25,0.0,0.0
227,Goal Lines,Over 5.0 & 5.5,Back,1.230452430,7044482,35.32,77.84,5.25,0.0,0.0
228,Goal Lines,Under 5.5,Back,1.230452430,7044483,1.02,32577.0,5.5,0.0,0.0
229,Goal Lines,Over 5.5,Back,1.230452430,7044482,36.0,75.29,5.5,0.0,0.0
230,Goal Lines,Under 5.5 & 6.0,Back,1.230452430,7044483,1.01,1.01,5.75,0.0,0.0
231,Goal Lines,Over 5.5 & 6.0,Back,1.230452430,7044482,54.76,11.15,5.75,0.0,0.0
232,Goal Lines,Under 6.0,Back,1.230452430,7044483,1.01,1.01,6.0,0.0,0.0
233,Goal Lines,Over 6.0,Back,1.230452430,7044482,99.34,273.9,6.0,0.0,0.0
234,Goal Lines,Under 6.0 & 6.5,Back,1.230452430,7044483,1.01,1.01,6.25,0.0,0.0
235,Goal Lines,Over 6.0 & 6.5,Back,1.230452430,7044482,100.17,270.25,6.25,0.0,0.0
236,Goal Lines,Under 6.5,Back,1.230452430,7044483,1.01,1.01,6.5,0.0,0.0
237,Goal Lines,Over 6.5,Back,1.230452430,7044482,101.0,266.69,6.5,0.0,0.0
238,Goal Lines,Under 6.5 & 7.0,Back,1.230452430,7044483,1.01,1.01,6.75,0.0,0.0
239,Goal Lines,Over 6.5 & 7.0,Back,1.230452430,7044482,143.45,19.58,6.75,0.0,0.0
240,Goal Lines,Under 7.0,Back,1.230452430,7044483,1.01,1.01,7.0,0.0,0.0
241,Goal Lines,Over 7.0,Back,1.230452430,7044482,238.62,18.25,7.0,0.0,0.0
242,Goal Lines,Under 7.0 & 7.5,Back,1.230452430,7044483,1.01,1.01,7.25,0.0,0.0
243,Goal Lines,Over 7.0 & 7.5,Back,1.230452430,7044482,239.31,18.16,7.25,0.0,0.0
244,Goal Lines,Under 7.5,Back,1.230452430,7044483,1.01,1.01,7.5,0.0,0.0
245,Goal Lines,Over 7.5,Back,1.230452430,7044482,240.0,18.07,7.5,0.0,0.0
246,Goal Lines,Under 7.5 & 8.0,Back,1.230452430,7044483,1.01,1.01,7.75,0.0,0.0
247,Goal Lines,Over 7.5 & 8.0,Back,1.230452430,7044482,350.1,13.43,7.75,0.0,0.0
248,Goal Lines,Under 8.0,Back,1.230452430,7044483,1.01,1.01,8.0,0.0,0.0
249,Goal Lines,Over 8.0,Back,1.230452430,7044482,628.48,28.46,8.0,0.0,0.0
250,Goal Lines,Under 8.0 & 8.5,Back,1.230452430,7044483,1.01,1.01,8.25,0.0,0.0
251,Goal Lines,Over 8.0 & 8.5,Back,1.230452430,7044482,629.24,28.41,8.25,0.0,0.0
252,Goal Lines,Under 8.5,Back,1.230452430,7044483,1.01,1.01,8.5,0.0,0.0
253,Goal Lines,Over 8.5,Back,1.230452430,7044482,630.0,28.35,8.5,0.0,0.0
254,Goal Lines,Under 0.5,Lay,1.230452430,7044483,7.39,250.0,0.5,0.0,0.0
255,Goal Lines,Over 0.5,Lay,1.230452430,7044482,1.16,490.89,0.5,0.0,0.0
256,Goal Lines,Under 0.5 & 1.0,Lay,1.230452430,7044483,6.55,3913.06,0.75,0.0,0.0
257,Goal Lines,Over 0.5 & 1.0,Lay,1.230452430,7044482,1.26,785.73,0.75,0.0,0.0
258,Goal Lines,Under 1.0,Lay,1.230452430,7044483,5.7,1956.14,1.0,0.0,0.0
259,Goal Lines,Over 1.0,Lay,1.230452430,7044482,1.29,749.88,1.0,0.0,0.0
260,Goal Lines,Under 1.0 & 1.5,Lay,1.230452430,7044483,3.54,861.97,1.25,0.0,0.0
261,Goal Lines,Over 1.0 & 1.5,Lay,1.230452430,7044482,1.44,1498.84,1.25,0.0,0.0
262,Goal Lines,Under 1.5,Lay,1.230452430,7044483,2.74,714.17,1.5,0.0,0.0
263,Goal Lines,Over 1.5,Lay,1.230452430,7044482,1.59,1472.63,1.5,0.0,0.0
264,Goal Lines,Under 1.5 & 2.0,Lay,1.230452430,7044483,2.36,1052.56,1.75,0.0,0.0
